ranking_of_movie;movie_name_;Year;RATING;GROSS_COLLECTION
1;Jai_Bhim;-2021;9.4;
2;The_Shawshank_Redemption;-1994;9.3;$28.34M
3;The_Godfather;-1972;9.2;$134.97M
4;The_Dark_Knight;-2008;9;$534.86M
5;The_Godfather:_Part_II;-1974;9;$57.30M
6;12_Angry_Men;-1957;9;$4.36M
7;The_Lord_of_the_Rings:_The_Return_of_the_King;-2003;8.9;$377.85M
8;Pulp_Fiction;-1994;8.9;$107.93M
9;Schindler's_List;-1993;8.9;$96.90M
10;Inception;-2010;8.8;$292.58M
11;Spider-Man:_No_Way_Home;-2021;8.8;
12;Fight_Club;-1999;8.8;$37.03M
13;The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring;-2001;8.8;$315.54M
14;Forrest_Gump;-1994;8.8;$330.25M
16;The_Lord_of_the_Rings:_The_Two_Towers;-2002;8.7;$342.55M
17;The_Matrix;-1999;8.7;$171.48M
18;Goodfellas;-1990;8.7;$46.84M
20;One_Flew_Over_the_Cuckoo's_Nest;-1975;8.7;$112.00M
21;Parasite;-2019;8.6;$53.37M
22;Interstellar;-2014;8.6;$188.02M
24;Spirited_Away;-2001;8.6;$10.06M
25;Saving_Private_Ryan;-1998;8.6;$216.54M
27;Life_Is_Beautiful;-1997;8.6;$57.60M
28;Se7en;-1995;8.6;$100.13M
29;The_Silence_of_the_Lambs;-1991;8.6;$130.74M
30;Star_Wars:_Episode_IV_-_A_New_Hope;-1977;8.6;$322.74M
32;Seven_Samurai;-1954;8.6;$0.27M
33;It's_a_Wonderful_Life;-1946;8.6;
34;Whiplash;-2014;8.5;$13.09M
35;The_Intouchables;-2011;8.5;$13.18M
36;The_Prestige;-2006;8.5;$53.09M
38;The_Pianist;-2002;8.5;$32.57M
39;Gladiator;-2000;8.5;$187.71M
40;American_History_X;-1998;8.5;$6.72M
41;The_Usual_Suspects;-1995;8.5;$23.34M
43;The_Lion_King;-1994;8.5;$422.78M
45;Cinema_Paradiso;-1988;8.5;$11.99M
47;Back_to_the_Future;-1985;8.5;$210.61M
48;Once_Upon_a_Time_in_the_West;-1968;8.5;$5.32M
49;Psycho;-1960;8.5;$32.00M
54;Hamilton;-2020;8.4;
55;Capernaum;-2018;8.4;$1.66M
56;Joker;-2019;8.4;$335.45M
57;Your_Name.;-2016;8.4;$5.02M
58;Dangal;-2016;8.4;$12.39M
59;Spider-Man:_Into_the_Spider-Verse;-2018;8.4;$190.24M
60;Avengers:_Endgame;-2019;8.4;$858.37M
61;Avengers:_Infinity_War;-2018;8.4;$678.82M
62;Coco;(I)_(2017);8.4;$209.73M
64;The_Dark_Knight_Rises;-2012;8.4;$448.14M
66;Like_Stars_on_Earth;-2007;8.4;$1.22M
68;The_Lives_of_Others;-2006;8.4;$11.29M
70;Memento;-2000;8.4;$25.54M
71;Princess_Mononoke;-1997;8.4;$2.38M
72;Indiana_Jones_and_the_Raiders_of_the_Lost_Ark;-1981;8.4;$248.16M
73;The_Shining;-1980;8.4;$44.02M
74;Apocalypse_Now;-1979;8.4;$83.47M
95;Toy_Story;-1995;8.3;$191.80M
96;Braveheart;-1995;8.3;$75.60M
97;Reservoir_Dogs;-1992;8.3;$2.83M
99;Come_and_See;-1985;8.3;
;The_Room;2003;3.7;1800
;Birdemic:_Shock_and_Terror;2010;1.8;?
;The_Human_Centipede_(First_Sequence);2009;4.4;181000
;Movie_43;2013;4.3;8900000
;The_Last_Airbender;2010;4.0;131700000
;Dragonball_Evolution;2009;2.6;9300000
;Catwoman;2004;3.4;40400000
;Batman_&_Robin;1997;3.7;107300000
;House_of_the_Dead;2003;2.0;13100000
;The_Love_Guru;2008;3.8;32000000
;Son_of_the_Mask;2005;2.2;17800000
;The_Happening;2008;5.0;64000000
;Gigli;2003;2.6;6100000
;Fantastic_Four;2015;4.3;56100000
;Emoji_Movie;2017;3.3;86000000
;Morbius;2022;5.1;73000000
;Dark_Phoenix;2019;5.7;65200000
;Jurassic_World:_Dominion;2022;5.6;376000000
;Madame_Web;2024;3.8;102000000
;Space_Jam:_A_New_Legacy;2021;4.2;70500000
