ranking;series_name;Year;rating
1;Breaking_Bad;(2008até2013);9.4
2;Game_of_Thrones;(2011até2019);9.2
3;Chernobyl;-2019;9.4
4;Band_of_Brothers;-2001;9.4
5;Sherlock;(2010até2017);9.1
6;Rick_and_Morty;(2013até_);9.2
7;The_Wire;(2002até2008);9.3
8;Avatar:_The_Last_Airbender;(2005até2008);9.3
9;The_Sopranos;(1999até2007);9.2
10;Friends;(1994até2004);8.8
11;True_Detective;(2014até2019);8.9
12;Stranger_Things;(2016até_);8.7
13;The_Office;(2005até2013);8.9
14;Death_Note;(2006até2007);9
15;Black_Mirror;(2011até2019);8.8
16;Fargo;(2014até_);8.9
17;Attack_on_Titan;(2013até2022);9
18;Firefly;(2002até2003);9
19;Peaky_Blinders;(2013até2022);8.8
20;Narcos;(2015até2017);8.8
21;Dexter;(2006até2013);8.6
22;The_Mandalorian;(2019até_);8.8
23;Better_Call_Saul;(2015até2022);8.8
24;House_of_Cards;(2013até2018);8.7
25;Dark;(2017até2020);8.8
27;House;(2004até2012);8.7
28;Arcane;(2021até_);9.2
29;Seinfeld;(1989até1998);8.8
31;Westworld;(2016até_);8.6
32;The_Boys;(2019até_);8.7
34;Daredevil;(2015até2018);8.6
35;The_Simpsons;(1989até_);8.6
36;The_Queen's_Gambit;-2020;8.6
38;Vikings;(2013até2020);8.5
39;Twin_Peaks;(1990até1991);8.8
41;Mr._Robot;(2015até2019);8.5
42;The_Walking_Dead;(2010até2022);8.2
43;How_I_Met_Your_Mother;(2005até2014);8.3
44;Mindhunter;(2017até2019);8.6
45;Downton_Abbey;(2010até2015);8.7
47;Ted_Lasso;(2020até_);8.8
48;One_Punch_Man;(2015até2019);8.8
49;Parks_and_Recreation;(2009até2015);8.6
51;Supernatural;(2005até2020);8.4
54;Hunter_x_Hunter;(2011até2014);9
55;Modern_Family;(2009até2020);8.4
57;The_Haunting_of_Hill_House;-2018;8.6
58;Suits;(2011até2019);8.4
59;Lost;(2004até2010);8.3
60;The_X-Files;(1993até2018);8.6
64;Prison_Break;(2005até2017);8.3
67;Community;(2009até2015);8.5
73;Shameless;(2011até2021);8.5
74;Fleabag;(2016até2019);8.7
75;The_Big_Bang_Theory;(2007até2019);8.1
76;Dragon_Ball_Z;(1989até2003);8.7
77;The_Punisher;(2017até2019);8.5
78;Brooklyn_Nine-Nine;(2013até2021);8.4
79;One_Piece;(1999até_);8.8
82;Homeland;(2011até2020);8.3
83;Pride_and_Prejudice;-1995;8.8
91;Money_Heist;(2017até2021);8.2
92;Ozark;(2017até2022);8.4
94;The_Marvelous_Mrs._Maisel;(2017até_);8.7
95;This_Is_Us;(2016até2022);8.6
97;The_Handmaid's_Tale;(2017até_);8.4
99;The_Witcher;(2019até_);8.2
103;Succession;(2018até_);8.8
106;Silicon_Valley;(2014até2019);8.5
109;Sex_Education;(2019até_);8.3
110;Spartacus:_Gods_of_the_Arena;-2011;8.5
112;The_Shield;(2002até2008);8.7
113;Person_of_Interest;(2011até2016);8.4
118;Justified;(2010até2015);8.6
121;Adventure_Time;(2010até2018);8.6
124;Outlander;(2014até_);8.4
126;The_Office;(2001até2003);8.5
130;Squid_Game;(2021até_);8
131;Californication;(2007até2014);8.3
133;Family_Guy;(1999até_);8.1
135;Demon_Slayer:_Kimetsu_no_Yaiba;(2019até_);8.7
138;Lucifer;(2016até2021);8.1
146;Anne_with_an_E;(2017até2019);8.7
154;American_Horror_Story;(2011até_);8
160;Fullmetal_Alchemist;(2003até2004);8.5
163;Euphoria;(2019até_);8.4
164;Twin_Peaks;-2017;8.5
168;The_Good_Place;(2016até2020);8.2
171;WandaVision;-2021;8
173;Chuck;(2007até2012);8.2
174;The_Mentalist;(2008até2015);8.1
178;Jujutsu_Kaisen;(2020até_);8.7
181;The_End_of_the_F***ing_World;(2017até2019);8.1
191;Normal_People;-2020;8.5
194;Naruto;(2002até2007);8.3
