"data_hora","modalidade","ronda","tipo","titulo","ano","rating_real","palpite_j1","palpite_j2","erro_j1","erro_j2","vencedor_ronda"
"2025-10-24 15:03:00.255414","Misto",1,"Série","The_Office","(2001até2003)",8.5,9,8.5,0.5,0,"catia"
"2025-10-24 15:03:10.21213","Misto",2,"Série","Outer_Banks","2020",7.5,8,7,0.5,0.5,"empate"
"2025-10-24 15:03:17.097905","Misto",3,"Série","Jujutsu_Kaisen","(2020até_)",8.7,9,9.1,0.300000000000001,0.4,"talita"
"2025-10-24 15:08:10.964789","Misto",1,"Série","Succession","(2018até_)",8.8,9,9.2,0.199999999999999,0.399999999999999,"talita"
"2025-10-24 15:08:21.09566","Misto",2,"Filme","Avengers:_Infinity_War","-2018",8.4,8,9,0.4,0.6,"talita"
"2025-10-24 15:08:28.025444","Misto",3,"Série","Jessica_Jones","2015",7.8,8,7,0.2,0.8,"talita"
"2025-10-24 15:33:57.048906","Misto",1,"Série","The_Office","(2001até2003)",8.5,9,8.9,0.5,0.4,"catia"
"2025-10-24 15:34:13.961653","Misto",2,"Série","In_the_Name_of_God:_A_Holy_Betrayal","2023",3.9,8,6,4.1,2.1,"catia"
"2025-10-24 15:34:29.784945","Misto",3,"Série","The_Adventures_of_Sherlock_Holmes","(1984até1985)",8.7,8,9,0.699999999999999,0.300000000000001,"catia"
"2025-10-25 14:22:10.669179","Misto",1,"Filme","Memento","-2000",8.4,8,6,0.4,2.4,"Nuno"
"2025-10-25 14:22:22.347516","Misto",2,"Filme","Coco","(I)_(2017)",8.4,7,8,1.4,0.4,"Catia"
"2025-10-25 14:22:38.166731","Misto",3,"Série","The_Flash","2014",7.5,9,7,1.5,0.5,"Catia"
"2025-10-25 14:22:45.939348","Misto",4,"Filme","Joker","-2019",8.4,7,8,1.4,0.4,"Catia"
"2025-10-25 14:22:58.94851","Misto",5,"Série","The_Office","(2001até2003)",8.5,9,9,0.5,0.5,"empate"
"2025-10-25 14:43:52.442771","Misto",1,"Série","Avatar:_The_Last_Airbender","(2005até2008)",9.3,8,8.4,1.3,0.9,"Catia"
"2025-10-25 14:44:14.948689","Misto",2,"Série","Avatar:_The_Last_Airbender","(2005até2008)",9.3,9.3,9.3,0,0,"empate"
"2025-10-25 14:44:21.414356","Misto",3,"Série","Rick_and_Morty","(2013até_)",9.2,8,9,1.2,0.199999999999999,"Catia"
"2025-10-25 14:56:26.648771","Misto",1,"Série","Rick_and_Morty","(2013até_)",9.2,9,8,0.199999999999999,1.2,"Ana"
"2025-10-25 14:56:29.6918","Misto",2,"Série","Suits","(2011até2019)",8.4,9,8,0.6,0.4,"Catia"
